analysis_type,architecture,loss_type,seed,stratum_subset,temporal_bin,target,n_total,n_pos,auroc,brier,ece,notes
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.1486729614173593,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.12670912195300407,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.1455938547154959,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.1486729624687292,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.12670911703344995,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins15,T2_2016,Pleural Effusion,3987,177,,,0.14559385365055996,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins15,T3_2017,Pleural Effusion,2436,85,,,0.14867295871208897,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins5,T1_2015,Pleural Effusion,1879,99,,,0.12670911771620505,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins5,T2_2016,Pleural Effusion,3987,177,,,0.14559385309788647,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins5,T3_2017,Pleural Effusion,2436,85,,,0.14867296796567336,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins10,T1_2015,Pleural Effusion,1879,99,,,0.12670911283704625,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins10,T2_2016,Pleural Effusion,3987,177,,,0.1455938603419737,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins10,T3_2017,Pleural Effusion,2436,85,,,0.14867296420368067,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins15,T1_2015,Pleural Effusion,1879,99,,,0.12670911638192067,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins15,T2_2016,Pleural Effusion,3987,177,,,0.14559385569353644,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,densenet121,weighted_bce,42,uniform_bins15,T3_2017,Pleural Effusion,2436,85,,,0.14867296066801927,ECE sensitivity: uniform binning with M=15
view_position_stratification,densenet121,unweighted_bce,123,PA,T1_2015,Pleural Effusion,646,21,0.9517714285714286,0.025590848759945158,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,unweighted_bce,123,PA,T2_2016,Pleural Effusion,1379,38,0.8826680795949606,0.023959978476785274,,Stratified evaluation for ViewPosition=PA
