architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Pleural Effusion,T1_2015,raw,auroc,0.9363451935081148,0.9138470377936669,-0.02249815571444791
densenet121,Pleural Effusion,T2_2016,raw,brier_score,0.03525002852601189,0.12410435309652837,0.08885432457051648
densenet121,Pleural Effusion,T2_2016,raw,log_loss,0.13168185341563024,0.4084938123351841,0.2768119589195539
densenet121,Pleural Effusion,T2_2016,raw,ece_equal_mass,0.010977513208323032,0.21868549845210034,0.20770798524377732
densenet121,Pleural Effusion,T2_2016,raw,auroc,0.8929715882972256,0.8758276243011996,-0.017143963996025913
densenet121,Pleural Effusion,T3_2017,raw,brier_score,0.027677432184743833,0.12068270291389233,0.09300527072914849
densenet121,Pleural Effusion,T3_2017,raw,log_loss,0.10987949674943324,0.3956411721772402,0.28576167542780695
densenet121,Pleural Effusion,T3_2017,raw,ece_equal_mass,0.008693862754144856,0.21890608138419246,0.2102122186300476
densenet121,Pleural Effusion,T3_2017,raw,auroc,0.8762835589361224,0.8472708734706133,-0.02901268546550917
densenet121,Pleural Effusion,T1_2015,temperature,brier_score,0.03603195957700975,0.10308658511580283,0.06705462553879309
densenet121,Pleural Effusion,T1_2015,temperature,log_loss,0.12727341745713738,0.35013533849649814,0.22286192103936076
densenet121,Pleural Effusion,T1_2015,temperature,ece_equal_mass,0.02037124740705213,0.18348329519089496,0.16311204778384283
densenet121,Pleural Effusion,T1_2015,temperature,auroc,0.9352726705254795,0.9134859834298037,-0.021786687095675772
densenet121,Pleural Effusion,T2_2016,temperature,brier_score,0.03489642625782521,0.12399532435406628,0.08909889809624108
densenet121,Pleural Effusion,T2_2016,temperature,log_loss,0.12908778676661126,0.4101258188121547,0.28103803204554345
densenet121,Pleural Effusion,T2_2016,temperature,ece_equal_mass,0.008790149321256631,0.20948937919812052,0.2006992298768639
densenet121,Pleural Effusion,T2_2016,temperature,auroc,0.892972144371784,0.8758276243011996,-0.017144520070584313
densenet121,Pleural Effusion,T3_2017,temperature,brier_score,0.0276673374050199,0.12041427694989955,0.09274693954487964
densenet121,Pleural Effusion,T3_2017,temperature,log_loss,0.10933532830729657,0.3955190782685889,0.2861837499612923
densenet121,Pleural Effusion,T3_2017,temperature,ece_equal_mass,0.01052193234153834,0.20935045841965824,0.1988285260781199
densenet121,Pleural Effusion,T3_2017,temperature,auroc,0.8762835589361224,0.8472708734706133,-0.02901268546550917
densenet121,Pleural Effusion,T1_2015,offset,brier_score,0.03475223180546488,0.039043016049478886,0.004290784244014009
