architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,weighted_bce,ensemble,Edema,T1_2015,analytic_weight,analytic_weight_vs_raw,0.038297537728660826,0.0021325869491137283,-0.036164950779547095,-0.0447691425605479,-0.028779989658563373,0.15826828159788262,0.017954682297008747,-0.14031359930087386,-0.16783767243928183,-0.1129114919921656
densenet121,weighted_bce,ensemble,Edema,T2_2016,temperature,temperature_vs_raw,0.040465353493799865,0.03980228471094906,-0.0006630687828508078,-0.0008242053077200431,-0.0005017348892680879,0.16637484803989885,0.16769714075127432,0.0013222927113754612,0.0008876378752555259,0.0017390537274019201
densenet121,weighted_bce,ensemble,Edema,T2_2016,offset,offset_vs_raw,0.040465353493799865,0.0031729320722287025,-0.03729242142157116,-0.042650969905887785,-0.03224329673210459,0.16637484803989885,0.018988463187768475,-0.14738638485213038,-0.1652371766369696,-0.12976995388224474
densenet121,weighted_bce,ensemble,Edema,T2_2016,platt,platt_vs_raw,0.040465353493799865,0.003234484304312369,-0.037230869189487495,-0.042600834215764126,-0.032035543904328355,0.16637484803989885,0.019904260927972216,-0.14647058711192665,-0.16448530126711927,-0.1286975565090483
densenet121,weighted_bce,ensemble,Edema,T2_2016,analytic_weight,analytic_weight_vs_raw,0.040465353493799865,0.003219268320277466,-0.037246085173522396,-0.04260248730991668,-0.03205385986886849,0.16637484803989885,0.021980184201730722,-0.14439466383816812,-0.16502350689003947,-0.12353277255101473
densenet121,weighted_bce,ensemble,Edema,T3_2017,temperature,temperature_vs_raw,0.037833331414553854,0.037084109694694604,-0.0007492217198592499,-0.0009543436184135788,-0.0005583607340441489,0.1578775606951863,0.15900994656711093,0.0011323858719246294,0.0005956966019422492,0.0016235634194648925
densenet121,weighted_bce,ensemble,Edema,T3_2017,offset,offset_vs_raw,0.037833331414553854,4.956353657887449e-05,-0.03778376787797498,-0.04423252440412484,-0.0320281764004242,0.1578775606951863,0.0015922876763039043,-0.1562852730188824,-0.1728154799037354,-0.14131960813909422
densenet121,weighted_bce,ensemble,Edema,T3_2017,platt,platt_vs_raw,0.037833331414553854,6.164731884171591e-06,-0.03782716668266968,-0.04433187948227568,-0.03207657233372941,0.1578775606951863,0.002204345339193946,-0.15567321535599235,-0.17252832740733834,-0.14043661962150786
densenet121,weighted_bce,ensemble,Edema,T3_2017,analytic_weight,analytic_weight_vs_raw,0.037833331414553854,3.873141488185132e-06,-0.03782945827306567,-0.044331976752903846,-0.03207927184894994,0.1578775606951863,0.0005498674566823634,-0.15732769323850393,-0.17420246087387278,-0.14212405702596156
densenet121,weighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,temperature_vs_raw,0.09204396362495829,0.09107673122932744,-0.000967232395630846,-0.0012773655930755651,-0.0006391423130012193,0.31887402050643904,0.3160858267169038,-0.002788193789535265,-0.0038384661326008817,-0.0016085886224166753
densenet121,weighted_bce,ensemble,Pleural Effusion,T1_2015,offset,offset_vs_raw,0.09204396362495829,0.03542302794258692,-0.056620935682371365,-0.06820513535309901,-0.04519153192743222,0.31887402050643904,0.12548933435263482,-0.19338468615380422,-0.2250385907416818,-0.1627409028881343
densenet121,weighted_bce,ensemble,Pleural Effusion,T1_2015,platt,platt_vs_raw,0.09204396362495829,0.03566888202094342,-0.056375081604014866,-0.06836955610853478,-0.044507152167592476,0.31887402050643904,0.127648709856986,-0.19122531064945303,-0.22313624372396032,-0.1597025891311446
