coverage,retained_samples,deferred_samples,p_defer_given_pos,p_defer_given_neg,retained_positives,retained_prevalence,automated_false_negatives,automated_false_positives,sensitivity_retained,specificity_retained,ppv_retained,npv_retained,brier_score,ece,ece_equal_width,ece_equal_mass,auroc,auprc,architecture,loss_type,seed,target,temporal_bin,calibration_method,threshold_method,threshold_value
0.7,1316,563,0.98989898989899,0.2612359550561798,1.0,0.0007598784194528875,1.0,0.0,0.0,1.0,,0.9992401215805471,0.0008957050465944572,0.010710715835025805,0.010710715835025803,0.010710715835025805,0.9460076045627377,0.013888888888888888,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,fixed_0.5,0.5
0.8,1504,375,0.8585858585858586,0.16292134831460675,14.0,0.009308510638297872,14.0,0.0,0.0,1.0,,0.9906914893617021,0.008963767624093682,0.013754474913378334,0.005096056146290169,0.013754474913378334,0.9404122722914668,0.1066458564304645,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,fixed_0.5,0.5
0.9,1692,187,0.7474747474747475,0.06348314606741573,25.0,0.014775413711583925,25.0,0.0,0.0,1.0,,0.985224586288416,0.01414084867225385,0.01326283280484112,0.005369410538055664,0.01326283280484112,0.886502699460108,0.10027318972329899,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,fixed_0.5,0.5
1.0,1879,0,0.0,0.0,99.0,0.05268759978712081,86.0,3.0,0.13131313131313133,0.998314606741573,0.8125,0.9538378958668814,0.03504878753913469,0.026840212178007104,0.019018620592164266,0.026840212178007104,0.9447849279309953,0.539581165163661,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,temperature,fixed_0.5,0.5
0.5,940,939,0.8484848484848485,0.4803370786516854,15.0,0.015957446808510637,0.0,9.0,1.0,0.9902702702702703,0.625,1.0,0.005732460429050114,0.008836738453888073,0.009665300211361309,0.008836738453888073,0.9975495495495494,0.8131671722383796,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
0.6,1128,751,0.696969696969697,0.3831460674157303,30.0,0.026595744680851064,0.0,17.0,1.0,0.9845173041894353,0.6382978723404256,1.0,0.009807027757701786,0.008177218097693398,0.012805310760423858,0.008177218097693398,0.9928051001821493,0.7198977378913689,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
0.7,1316,563,0.46464646464646464,0.29044943820224717,53.0,0.04027355623100304,0.0,28.0,1.0,0.9778305621536025,0.654320987654321,1.0,0.01657519023736678,0.01748728570739862,0.021531101174466976,0.01748728570739862,0.988795769282481,0.691747243052687,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
0.8,1504,375,0.24242424242424243,0.19719101123595506,75.0,0.049867021276595744,1.0,110.0,0.9866666666666667,0.9230230930720784,0.40217391304347827,0.9992424242424243,0.026453415818425266,0.01821313626443908,0.0207241814610512,0.01821313626443908,0.9781852111033356,0.6326568162758119,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
0.9,1692,187,0.15151515151515152,0.09662921348314607,84.0,0.04964539007092199,1.0,259.0,0.9880952380952381,0.8389303482587065,0.24269005847953215,0.9992592592592593,0.02869134601088088,0.017287505554135513,0.018335739813218475,0.017287505554135513,0.968661158493248,0.5955870178491847,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
1.0,1879,0,0.0,0.0,99.0,0.05268759978712081,1.0,418.0,0.98989898989899,0.7651685393258427,0.18992248062015504,0.9992663242846662,0.03333535184200217,0.01967424276351326,0.012802391964627022,0.01967424276351326,0.9451140619679945,0.5364085198551407,densenet121,unweighted_bce,ensemble,Pleural Effusion,T1_2015,offset,youden_validation,0.03435454269250234
